TAXID,01,02,03,04,05
505991,0,0,0.00337837837837838,0,0
49233,0.00380228136882129,0.0590909090909091,0.0168918918918919,0.033112582781457,0
41953,0.0722433460076046,0.0136363636363636,0.0506756756756757,0.125827814569536,0.23780487804878
996372,0.0494296577946768,0,0.0101351351351351,0,0.00609756097560976
1003111,0.00380228136882129,0,0,0,0
2850,0,0,0,0,0.0304878048780488
420263,0.00380228136882129,0.00454545454545455,0.00337837837837838,0.00662251655629139,0
515460,0.00380228136882129,0,0,0,0
426649,0.00380228136882129,0,0.00675675675675676,0,0
265583,0,0,0.00675675675675676,0,0
265578,0.00380228136882129,0,0.0101351351351351,0.00662251655629139,0
210443,0,0,0.00337837837837838,0,0
210597,0,0,0,0.00662251655629139,0.00609756097560976
1003032,0,0.00454545454545455,0,0.00662251655629139,0
49230,0,0.00909090909090909,0.00675675675675676,0,0
210446,0,0.00454545454545455,0,0,0
3006,0.00380228136882129,0.00454545454545455,0.00337837837837838,0,0
33644,0.00760456273764259,0.00909090909090909,0.0101351351351351,0.0132450331125828,0.0121951219512195
29206,0,0.00454545454545455,0.00675675675675676,0.0397350993377483,0.0121951219512195
59796,0,0.0363636363636364,0.0135135135135135,0,0
216746,0.00380228136882129,0.00454545454545455,0.00337837837837838,0,0.00609756097560976
216800,0,0.0409090909090909,0.0168918918918919,0,0
1030550,0,0.0136363636363636,0,0,0
49248,0.0114068441064639,0.00454545454545455,0.0168918918918919,0.0264900662251656,0.0670731707317073
382376,0.00380228136882129,0,0,0.00662251655629139,0
186035,0.00380228136882129,0.00454545454545455,0.0101351351351351,0,0
912664,0,0,0,0.00662251655629139,0
555755,0,0,0.00337837837837838,0,0
216744,0.0152091254752852,0.0181818181818182,0.00337837837837838,0,0.00609756097560976
265539,0.00380228136882129,0,0.00337837837837838,0.0132450331125828,0
374046,0,0,0,0.00662251655629139,0
1003136,0,0.00454545454545455,0,0,0
1003035,0,0,0.00337837837837838,0,0
265597,0.00380228136882129,0.00454545454545455,0.00337837837837838,0,0
941920,0.00380228136882129,0,0,0,0
210842,0,0,0.00337837837837838,0,0.00609756097560976
265589,0,0,0.00337837837837838,0,0
1003038,0,0.00454545454545455,0,0,0
232858,0,0.00454545454545455,0,0,0.00609756097560976
420972,0.00380228136882129,0,0,0,0
35127,0.121673003802281,0.131818181818182,0.108108108108108,0.211920529801325,0.0487804878048781
1082658,0.064638783269962,0,0.0337837837837838,0.0198675496688742,0.024390243902439
382381,0,0,0,0.0198675496688742,0
3004,0.00760456273764259,0.00454545454545455,0.0236486486486486,0,0
505987,0.00380228136882129,0,0,0,0
216753,0.00760456273764259,0,0.0101351351351351,0.00662251655629139,0
210619,0,0,0.00337837837837838,0,0
1003107,0,0.00454545454545455,0,0,0
210615,0.00380228136882129,0,0.0135135135135135,0,0.0182926829268293
49259,0,0,0.00337837837837838,0.0132450331125828,0
515467,0.00380228136882129,0,0,0,0
216736,0.0532319391634981,0.00454545454545455,0.00337837837837838,0.00662251655629139,0.00609756097560976
216907,0,0.00454545454545455,0,0.00662251655629139,0.00609756097560976
59811,0,0,0,0.00662251655629139,0
1003026,0.00380228136882129,0.00454545454545455,0.00337837837837838,0,0
186024,0,0,0,0.00662251655629139,0
197752,0,0.00454545454545455,0,0,0
1003206,0,0.00454545454545455,0.00337837837837838,0,0
188540,0,0,0.0101351351351351,0,0
2852,0.0228136882129278,0,0.0101351351351351,0,0.024390243902439
449147,0,0,0,0,0.00609756097560976
265580,0,0,0.00337837837837838,0,0
232513,0.00760456273764259,0,0,0,0
327390,0,0,0.00337837837837838,0,0
